(* Library holdings (# of books in each library), *)
(* collected by Christian Ayotte.                 *)
(* Labels not available.                          *)


data -         12521
data -         28000
data -         35475
data -         13234
data -         12000
data -         13355
data -        128521
data -          8200
data -          8732
data -          6845
data -         21369
data -         65534
data -        100747
data -         19483
data -        437707
data -         93617
data -        137395
data -         19869
data -         15644
data -         23053
data -         11622
data -         25724
data -         17473
data -         93003
data -         13008
data -        375454
data -         20008
data -         21630
data -          6271
data -         13505
data -         15530
data -         20837
data -         17879
data -         13355
data -         16855
data -         29132
data -        412388
data -         11884
data -         28638
data -        236884
data -         11172
data -        109980
data -        130035
data -         23148
data -         79611
data -        126902
data -         99113
data -         68258
data -         17044
data -         85947
data -         40226
data -         42789
data -         12310
data -        166179
data -         33391
data -         25660
data -         97134
data -        201041
data -         83674
data -         18475
data -          8691
data -         43006
data -         12093
data -         42679
data -         29463
data -         80901
data -         25584
data -         60941
data -         69076
data -         25921
data -         15634
data -          4926
data -         26412
data -         47304
data -        125998
data -         21216
data -         33607
data -         24999
data -         29279
data -         13971
data -         69963
data -         86829
data -         30253
data -         26475
data -         31516
data -        136928
data -         22670
data -         21300
data -         17832
data -         29889
data -         74258
data -         21974
data -         20342
data -         13964
data -          8196
data -        101505
data -         14284
data -          8731
data -        195512
data -         52670
data -         48352
data -         10461
data -         13996
data -         42992
data -         36429
data -       5763005
data -        126349
data -         56119
data -         31941
data -          9928
data -         14793
data -         14470
data -          7273
data -         48967
data -          5007
data -         25290
data -         52321
data -          9706
data -         13756
data -         68626
data -         31722
data -        255367
data -         11338
data -          9776
data -          8389
data -         17661
data -         56562
data -         25006
data -        168330
data -          6899
data -          5808
data -         20526
data -        164318
data -        131567
data -         27782
data -        279705
data -         19807
data -        171303
data -        115162
data -         12574
data -         17216
data -        217438
data -        127358
data -          7159
data -         98099
data -          7062
data -        103426
data -         10697
data -        231997
data -        104213
data -         33366
data -         22605
data -         30472
data -         20999
data -         65136
data -         17239
data -         51925
data -         53444
data -         84767
data -         68283
data -        109985
data -        169122
data -         31216
data -         29787
data -         13707
data -        235937
data -         10947
data -          8576
data -         23141
data -        267852
data -         20269
data -         76411
data -         21115
data -         20720
data -         35490
data -        460116
data -          6871
data -         61267
data -         20488
data -         34761
data -          9834
data -         51156
data -         14439
data -         25765
data -         35052
data -         57150
data -         64341
data -         76143
data -         18084
data -         12125
data -         26678
